ind,subject,predicate,object,qualifier,qualifier value
0,牟州千户,start time,1254,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_45582"""
0,牟州千户,start time,1254,stated in,"[""《元史》"", ""《中国历史地名大辞典》""]"
1,牟州千户,end time,1274;1275,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_45582"""
2,牟州千户,dynasty,宋朝,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_45582"""
3,牟州千户,dynasty,元/蒙元,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_45582"""
3,牟州千户,dynasty,元/蒙元,stated in,"[""《读史方舆纪要》"",""《元史》""]"
4,牟州千户,located in the present-day administrative territorial entity,云南省,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_45582"""
4,牟州千户,located in the present-day administrative territorial entity,云南省,stated in,"[""《中国历史地名大辞典》""]"
5,牟州千户,replaced by,定远州,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_45582"""
5,牟州千户,replaced by,定远州,point in time,1275
5,牟州千户,replaced by,定远州,stated in,"[""《元史》"", ""《中国历史地名大辞典》""]"
6,牟州千户,located in the administrative territorial entity,威楚万户府,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_45582"""